ts,timestamp,zone,people_now,total_ids_seen_in_zone,tracked_ids,zone_timer_sec,zone_timer_hhmmss,zone_occupied_duration_sec,zone_occupied_duration_hhmmss,current_owner_id,current_session_start_time,current_session_duration_sec,is_valid_machine_usage,multi_person_detected,last_completed_session_duration_sec,completed_sessions_count,avg_completed_session_duration_sec,current_longest_usage_time_sec,estimated_waiting_time_sec
1773687013.097,2026-03-17 02:50:13,equipment_a,1,1,1,21.114,00:00:21,21.114,00:00:21,1,2026-03-17 02:49:55,17.829,1,0,1.254,2,1.643,17.829,1.000
1773687013.097,2026-03-17 02:50:13,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687014.172,2026-03-17 02:50:14,equipment_a,1,1,1,22.190,00:00:22,22.190,00:00:22,1,2026-03-17 02:49:55,18.904,1,0,1.254,2,1.643,18.904,1.000
1773687014.172,2026-03-17 02:50:14,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687015.349,2026-03-17 02:50:15,equipment_a,1,1,1,23.181,00:00:23,23.181,00:00:23,1,2026-03-17 02:49:55,19.896,0,0,1.254,2,1.643,19.896,1.000
1773687015.349,2026-03-17 02:50:15,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687016.380,2026-03-17 02:50:16,equipment_a,1,1,1,23.181,00:00:23,23.181,00:00:23,1,2026-03-17 02:49:55,19.896,0,0,1.254,2,1.643,19.896,1.000
1773687016.380,2026-03-17 02:50:16,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687017.552,2026-03-17 02:50:17,equipment_a,1,1,1,23.181,00:00:23,23.181,00:00:23,1,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687017.552,2026-03-17 02:50:17,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687018.589,2026-03-17 02:50:18,equipment_a,1,1,1,23.181,00:00:23,23.181,00:00:23,1,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687018.589,2026-03-17 02:50:18,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687019.740,2026-03-17 02:50:19,equipment_a,0,1,,23.181,00:00:23,23.181,00:00:23,,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687019.740,2026-03-17 02:50:19,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687020.755,2026-03-17 02:50:20,equipment_a,0,1,,23.181,00:00:23,23.181,00:00:23,,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687020.755,2026-03-17 02:50:20,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687021.869,2026-03-17 02:50:21,equipment_a,0,1,,23.181,00:00:23,23.181,00:00:23,,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687021.869,2026-03-17 02:50:21,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687023.039,2026-03-17 02:50:23,equipment_a,0,1,,23.181,00:00:23,23.181,00:00:23,,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687023.039,2026-03-17 02:50:23,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687024.086,2026-03-17 02:50:24,equipment_a,0,1,,23.181,00:00:23,23.181,00:00:23,,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687024.086,2026-03-17 02:50:24,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687025.109,2026-03-17 02:50:25,equipment_a,0,1,,23.181,00:00:23,23.181,00:00:23,,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687025.109,2026-03-17 02:50:25,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687026.264,2026-03-17 02:50:26,equipment_a,0,1,,23.181,00:00:23,23.181,00:00:23,,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687026.264,2026-03-17 02:50:26,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687027.385,2026-03-17 02:50:27,equipment_a,0,1,,23.181,00:00:23,23.181,00:00:23,,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687027.385,2026-03-17 02:50:27,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687028.486,2026-03-17 02:50:28,equipment_a,0,1,,23.181,00:00:23,23.181,00:00:23,,,0.000,0,0,19.896,3,7.727,0.000,0.000
1773687028.486,2026-03-17 02:50:28,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
